n,v,t,tempsCreacio,tempsConsulta,compsConsulta
tempsCreacio,tempsHit,tempsMiss,tempsConsulta,compsHit,compsMiss,compsConsulta
2.5e-05,7.33333e-07,9.54545e-07,8.55e-07,5.77778,6.8,6.34
2.6e-05,7.95276e-07,9.58904e-07,8.55e-07,5.68504,6.79452,6.09
2.5e-05,7.66082e-07,7.24138e-07,7.6e-07,5.61404,6.72414,5.775
2.6e-05,7.25e-07,0,7.25e-07,5.645,0,5.645
2.5e-05,7.25926e-07,7.93939e-07,7.63333e-07,5.66667,6.75152,6.26333
2.6e-05,7.38693e-07,7.92079e-07,7.56667e-07,5.64824,6.78218,6.03
2.6e-05,7.37643e-07,7.2973e-07,7.36667e-07,5.68441,6.78378,5.82
2.5e-05,7.46667e-07,0,7.46667e-07,5.75667,0,5.75667
2.4e-05,7.59563e-07,7.64977e-07,7.625e-07,5.61749,6.76959,6.2425
2.5e-05,7.0696e-07,7.95276e-07,7.35e-07,5.69963,6.7874,6.045
2.5e-05,7.47191e-07,8.18182e-07,7.55e-07,5.80337,6.79545,5.9125
2.5e-05,7.425e-07,0,7.425e-07,5.79,0,5.79
0.000325,8.41463e-07,8.37598e-07,8.395e-07,8.94106,9.9872,9.4725
0.000324,8.03685e-07,8.2343e-07,8.095e-07,8.96456,9.98812,9.266
0.000324,8.1979e-07,8.32461e-07,8.21e-07,8.97678,9.97382,9.072
0.000323,8.115e-07,0,8.115e-07,8.973,0,8.973
0.000324,8.04103e-07,8.62324e-07,8.33e-07,8.95698,9.98657,9.468
0.000353,8.21528e-07,8.4192e-07,8.27333e-07,8.9767,9.98829,9.26467
0.000323,8.22705e-07,8.223e-07,8.22667e-07,8.98452,9.97561,9.07933
0.000324,8.05333e-07,0,8.05333e-07,8.991,0,8.991
0.000323,8.31522e-07,8.60324e-07,8.4575e-07,8.97431,9.98836,9.47525
0.000324,8.21204e-07,8.51138e-07,8.2975e-07,8.98775,9.98599,9.27275
0.000323,8.1276e-07,8.20253e-07,8.135e-07,8.99029,9.98228,9.08825
0.000324,8.1725e-07,0,8.1725e-07,8.983,0,8.983
0.00409,9.12909e-07,9.45369e-07,9.291e-07,12.3765,13.3508,12.8625
0.004071,9.11149e-07,9.48384e-07,9.2215e-07,12.378,13.3495,12.6651
0.004079,9.12814e-07,9.54568e-07,9.1695e-07,12.38,13.3523,12.4763
0.004079,9.0795e-07,0,9.0795e-07,12.3814,0,12.3814
0.004076,9.12611e-07,9.49658e-07,9.31033e-07,12.379,13.3576,12.8656
0.004073,9.06129e-07,9.52732e-07,9.19833e-07,12.379,13.3467,12.6636
0.004077,9.09514e-07,9.50287e-07,9.13533e-07,12.3756,13.3541,12.472
0.004076,9.17733e-07,0,9.17733e-07,12.3764,0,12.3764
0.004074,9.10773e-07,9.48886e-07,9.29675e-07,12.3811,13.3585,12.8658
0.004071,9.12723e-07,9.55135e-07,9.25225e-07,12.3754,13.3527,12.6635
0.004075,9.17323e-07,9.56511e-07,9.21175e-07,12.3776,13.353,12.4734
0.004075,9.08875e-07,0,9.08875e-07,12.3758,0,12.3758
0.049164,1.00321e-06,1.04399e-06,1.02357e-06,15.6862,16.6876,16.1861
0.049132,1.00182e-06,1.04736e-06,1.01538e-06,15.6873,16.6891,15.9857
0.049156,1.0054e-06,1.05148e-06,1.01001e-06,15.6866,16.6913,15.7869
0.049161,9.99965e-07,0,9.99965e-07,15.6866,0,15.6866
0.049156,1.00287e-06,1.04291e-06,1.02287e-06,15.688,16.6875,16.1873
0.049149,1.00064e-06,1.04493e-06,1.01386e-06,15.6858,16.6873,15.9847
0.049176,9.98267e-07,1.04823e-06,1.00325e-06,15.6876,16.6883,15.7874
0.049158,1.00618e-06,0,1.00618e-06,15.6887,0,15.6887
0.049142,1.00939e-06,1.05138e-06,1.03035e-06,15.6867,16.6874,16.1861
0.049139,1.00246e-06,1.04585e-06,1.01542e-06,15.6875,16.6878,15.9863
0.04916,1.00335e-06,1.05086e-06,1.00809e-06,15.6887,16.6898,15.7887
0.04914,1.009e-06,0,1.009e-06,15.6887,0,15.6887
0.585693,1.19786e-06,1.25119e-06,1.2245e-06,18.9537,19.9517,19.4523
0.58655,1.19905e-06,1.25512e-06,1.21587e-06,18.9536,19.9516,19.253
0.585697,1.20252e-06,1.26346e-06,1.20863e-06,18.9539,19.951,19.0538
0.585859,1.2187e-06,0,1.2187e-06,18.9539,0,18.9539
0.585659,1.1989e-06,1.25141e-06,1.22512e-06,18.9539,19.9516,19.452
0.585539,1.19845e-06,1.25507e-06,1.21542e-06,18.9535,19.9518,19.2527
0.585634,1.20028e-06,1.25974e-06,1.20623e-06,18.953,19.9517,19.053
0.585616,1.19724e-06,0,1.19724e-06,18.9527,0,18.9527
0.585579,1.2081e-06,1.26173e-06,1.23489e-06,18.9539,19.9515,19.4521
0.58574,1.21863e-06,1.27607e-06,1.23584e-06,18.9529,19.9516,19.2522
0.585504,1.20978e-06,1.27098e-06,1.2159e-06,18.9526,19.9517,19.0525
0.585601,1.22341e-06,0,1.22341e-06,18.9525,0,18.9525
