n,v,t,tempsCreacio,tempsHit,tempsMiss,tempsConsulta,compsHit,compsMiss,compsConsulta,tempsComp,tempsHash
100,2,2,0.000011,7.77778E-007,3.27273E-007,1.10505E-006,1.03333,0.1,1.13333,1.53846E-007,0.00000014
100,2,2,0.000011,8.8189E-007,3.56164E-007,1.23805E-006,1.05512,0.136986,1.1921,2.56944E-007,0.000000145
100,2,2,0.00001,7.4269E-007,4.82759E-007,1.22545E-006,1.08187,0.172414,1.25429,1.84211E-007,0.00000015
100,2,2,0.000011,0.00000094,0,0.00000094,1.08,0,1.08,2.82407E-007,0.00000016
100,3,3,0.000014,9.11111E-007,3.63636E-007,1.27475E-006,1.06667,0.0787879,1.14545,2.03822E-007,0.00000016
100,3,3,0.000011,9.64824E-007,4.05941E-007,1.37076E-006,1.0804,0.108911,1.18931,0.000000208,0.00000022
100,3,3,0.000011,7.3384E-007,2.97297E-007,1.03114E-006,1.07985,0.135135,1.21498,1.6609E-007,1.86667E-007
100,3,3,0.000011,7.26667E-007,0,7.26667E-007,1.08667,0,1.08667,1.56442E-007,1.76667E-007
100,4,4,0.000011,0.000000694,4.37788E-007,1.13178E-006,1.0765,0.0875576,1.16406,1.75926E-007,2.025E-007
100,4,4,0.000012,7.87546E-007,3.85827E-007,1.17337E-006,1.07692,0.0944882,1.17141,1.73203E-007,0.000000165
100,4,4,0.000012,9.80337E-007,4.31818E-007,1.41216E-006,1.08989,0.159091,1.24898,2.22785E-007,0.000000215
100,4,4,0.000019,0.00000124,0,0.00000124,1.095,0,1.095,3.21918E-007,0.00000034
1000,2,2,0.000209,1.46748E-006,8.53346E-007,2.32083E-006,1.2124,0.487205,1.6996,2.93839E-007,2.855E-007
1000,2,2,0.000228,1.38412E-006,8.04754E-007,2.18888E-006,1.20482,0.471986,1.67681,0.000000272,0.000000286
1000,2,2,0.000155,1.44113E-006,1.23037E-006,2.67149E-006,1.20343,0.52356,1.72699,3.17523E-007,0.00000036
1000,2,2,0.000224,0.000000966,0,0.000000966,1.1975,0,1.1975,2.26305E-007,0.000000436
1000,3,3,0.000124,8.41827E-007,4.85561E-007,1.32739E-006,1.2131,0.46407,1.67717,1.8859E-007,1.78333E-007
1000,3,3,0.000095,8.77912E-007,5.66745E-007,1.44466E-006,1.19804,0.48829,1.68633,1.81058E-007,1.91333E-007
1000,3,3,0.000098,8.54405E-007,4.66899E-007,1.3213E-006,1.20199,0.473868,1.67586,1.76921E-007,1.83667E-007
1000,3,3,0.000194,1.09933E-006,0,1.09933E-006,1.197,0,1.197,2.1359E-007,2.33667E-007
1000,4,4,0.000162,1.1418E-006,6.54858E-007,1.79666E-006,1.19862,0.465081,1.6637,2.29895E-007,0.000000238
1000,4,4,0.000156,9.81106E-007,7.54816E-007,1.73592E-006,1.20329,0.478109,1.6814,1.99247E-007,2.345E-007
1000,4,4,0.000097,9.43412E-007,5.34177E-007,1.47759E-006,1.19556,0.455696,1.65126,1.8931E-007,1.905E-007
1000,4,4,0.000094,8.9675E-007,0,8.9675E-007,1.20075,0,1.20075,0.000000183,0.000000201
10000,2,2,0.001432,0.000001299,1.51955E-006,2.81853E-006,1.4593,0.915698,2.375,2.05235E-007,2.2215E-007
10000,2,2,0.00119,1.27067E-006,1.84211E-006,3.11277E-006,1.46562,0.908276,2.37389,3.9867E-007,1.946E-007
10000,2,2,0.001726,1.68572E-006,9.74255E-007,0.00000266,1.46617,0.898536,2.36471,1.96071E-007,1.9585E-007
10000,2,2,0.001171,1.6362E-006,0,1.6362E-006,1.46815,0,1.46815,0.000000207,2.076E-007
10000,3,3,0.00107,1.30447E-006,9.33905E-007,2.23837E-006,1.47845,0.913661,2.39211,0.000000199,6.98733E-007
10000,3,3,0.00168,3.15266E-006,1.07935E-006,0.000004232,1.47781,0.915099,2.39291,2.27076E-007,6.034E-007
10000,3,3,0.001868,1.47731E-006,1.05039E-006,2.5277E-006,1.47217,0.902942,2.37512,2.353E-007,2.272E-007
10000,3,3,0.001986,1.30227E-006,0,1.30227E-006,1.46493,0,1.46493,2.09134E-007,2.04833E-007
10000,4,4,0.001022,1.76912E-006,0.000001537,3.30612E-006,1.4687,0.912138,2.38084,2.12652E-007,2.11725E-007
10000,4,4,0.001027,2.50349E-006,1.03554E-006,0.000003539,1.46634,0.916377,2.38272,2.25153E-007,4.38075E-007
10000,4,4,0.00117,1.64675E-006,9.6236E-007,2.60911E-006,1.46795,0.904883,2.37283,0.000000216,2.13225E-007
10000,4,4,0.001586,0.000002451,0,0.000002451,1.46447,0,1.46447,5.41406E-007,2.24775E-007
100000,2,2,0.04056,1.34541E-006,1.1008E-006,2.44621E-006,1.49371,0.988222,2.48194,2.26731E-007,1.9993E-007
100000,2,2,0.023284,1.98954E-006,2.28616E-006,4.2757E-006,1.49588,0.99065,2.48653,3.69784E-007,3.07245E-007
100000,2,2,0.029473,2.41218E-006,1.27108E-006,3.68327E-006,1.49466,0.990435,2.4851,3.10537E-007,0.000000367
100000,2,2,0.020871,1.38533E-006,0,1.38533E-006,1.49522,0,1.49522,2.03535E-007,2.0029E-007
100000,3,3,0.02603,0.00000153,1.09908E-006,0.000002629,1.51023,0.991645,2.50188,2.08359E-007,2.29453E-007
100000,3,3,0.022565,1.85873E-006,1.71444E-006,3.57316E-006,1.50732,0.988719,2.49604,0.00000027,2.3089E-007
100000,3,3,0.027409,1.43122E-006,1.07159E-006,2.50281E-006,1.50554,0.995989,2.50153,2.02106E-007,0.000000231
100000,3,3,0.034125,0.000002125,0,0.000002125,1.49613,0,1.49613,2.16661E-007,2.7674E-007
100000,4,4,0.028122,2.03182E-006,1.5751E-006,3.60692E-006,1.49539,0.991539,2.48693,2.48547E-007,0.000000294
100000,4,4,0.018532,2.25916E-006,1.5471E-006,3.80626E-006,1.49721,0.991712,2.48893,3.5918E-007,3.14608E-007
100000,4,4,0.013832,1.47729E-006,1.08126E-006,2.55855E-006,1.49608,0.994219,2.4903,2.38245E-007,1.99585E-007
100000,4,4,0.020788,1.55888E-006,0,1.55888E-006,1.4965,0,1.4965,2.30446E-007,2.21935E-007
